# SPS-II_HRXRD/MX - Construction & Spatial Guide
# Generated: 09/09/2026, 20:00:00
# Total Beamline Length: 58 m | Components: 29
Sequence #,Component Name,Type,Center Position X (m),Optics Physical Length (m),Chamber Footprint Length (m),Upstream Face X_start (m),Downstream Face X_end (m),Asymmetric Chamber,Show Footprint Box,Show Footprint Text,Show Label,Locked,Lock Length,Lock Center,Major Color,Minor Color,Clearance to Next (m),Next Component,Elevation Y (mm),Lateral Offset Z (mm),Wall/Enclosure Width (m),Wall/Enclosure Height (m),Ray Color,Ray Width,Ray Style,Show Ray Arrow,Animate Ray,Misc A,Misc B,Misc C,Misc D,Label Side X (px),Label Side Y (px),Label Top X (px),Label Top Y (px),Enclosure / Section
18,FSM,SCREEN,31.800,0.600,0.500,31.550,32.050,NO,NO,NO,YES,NO,NO,NO,,,0.700,XBPM,25.0,0.0,,,,,,,,,,,,,,,,HRXRD station/Optics Hutch 2
19,XBPM,XBPM,33.000,0.425,0.500,32.750,33.250,NO,NO,NO,YES,NO,NO,NO,,,0.700,FSM,25.0,0.0,,,,,,,,,,,,,,,,HRXRD station/Optics Hutch 2
20,FSM,SCREEN,34.200,0.600,0.500,33.950,34.450,NO,NO,NO,NO,NO,NO,NO,,,5.450,HFM,25.0,0.0,,,,,,,,,,,,,,,,HRXRD station/Optics Hutch 2
21,Optics Hutch 3,HUTCH,41.500,5.000,5.000,39.000,44.000,NO,NO,NO,YES,NO,NO,NO,,,0.000,Experimental Hutch,-,-,7.000,7.000,,,,,,7,7,,,,,,,Open Beamline
22,HFM,HFM,40.500,1.000,1.200,39.900,41.100,NO,NO,NO,YES,NO,NO,NO,,,0.250,FSM,25.0,20.0,,,,,,,,1.0,0,,0.3,,,,,Optics Hutch 3
23,FSM,SCREEN,41.600,0.600,0.500,41.350,41.850,NO,NO,NO,YES,NO,NO,NO,,,0.200,XBPM,25.0,20.0,,,,,,,,,,,,,,,,Optics Hutch 3
24,XBPM,XBPM,42.300,0.425,0.500,42.050,42.550,NO,NO,NO,YES,NO,NO,NO,,,0.200,Slit,25.0,20.0,,,,,,,,,,,,,,,,Optics Hutch 3
25,Slit,SLIT,43.000,0.300,0.500,42.750,43.250,NO,NO,NO,NO,NO,NO,NO,,,0.100,Screen,25.0,20.0,,,,,,,,,,,,,,,,Optics Hutch 3
26,Screen,SCREEN,43.600,0.600,0.500,43.350,43.850,NO,NO,NO,NO,NO,NO,NO,,,0.900,Sample,25.0,20.0,,,,,,,,,,,,,,,,Optics Hutch 3
27,Experimental Hutch,HUTCH,46.000,4.000,4.000,44.000,48.000,NO,NO,NO,YES,NO,NO,NO,,,10.000,End of Beamline,-,-,7.000,7.000,,,,,,7,7,,,,,,,Open Beamline
28,Sample,SAMPLE,45.000,0.600,0.500,44.750,45.250,NO,NO,NO,YES,NO,NO,NO,,,0.425,Detector,25.0,20.0,,,,,,,,YES,,,,,,,,Experimental Hutch
29,Detector,DETECTOR,46.500,1.050,1.650,45.675,47.325,NO,NO,NO,NO,NO,NO,NO,,,10.675,End of Beamline,25.0,20.0,,,,,,,,Silicon Detector,NO,YES,,,,,,Experimental Hutch
